IDX,Acct_Mgr_Quality,Acct_Team_Ability,Acct_Team_Breadth,Acct_Team_Contribution,Acct_Team_Engagement,Acct_Team_Info,Acct_Team_Leadership,Acct_Team_Plan,Acct_Team_Problem_Solver,Acct_Team_Sales_Support,Acct_Team_Satisfaction,Communications,Competitor_Comparison,Continue,Credit_Score,Ease,Joint_Service_Delivery,Loyalty,Mktg_Proj,Online_Tools/Applications_Satisfaction,Online_Tools_Colloboration,Online_Tools_Ease,Online_Tools_Effectiveness,Online_Tools_Help,Online_Tools_Sufficient,Online_Tools_Timeliness,Operation_Support_Quality,Partnership_Committed,Product_Quality,Profit,Relationship,Sales_Expectation,Sales_Training,Satisfaction,Service_Account_Team_Satisfaction,Service_Sales_Support,Service_Support,Solutions_Support,Support_Importance,Support_Mgr_Quality,Support_Quality,Svc_Proj,Team_Comparison,Value,Will_Recommend,Prediction
422,3.9245835127,3.7874225314,3.6199754687,3.6158064745,3.2101938076,3.7560947633,3.5112858946,3.4457422468,3.8268908231,3.6761151796,3.7531779039,3.7131184446,3.6562252141,4.7725603346,3,3.3584541188,3.5169691089,0,3.9256734148,3.475854078,3.4460360256,4.2337868016,3.521415994,3.5156953538,3.206927403,3.6199754687,3.6199754687,4.4995332671,4.3463117554,3.8500903573,3.6853076709,4.022821209,3.4757180502,3.8592282655,3.8126153318,3.7172157594,3.671871867,3.6665932844,4.8170698769,4.0074783618,3.9322272373,3.8808680373,4.0001167279,3.7140863141,4.6882362711,111.729075
423,4.0829451936,3.9769592168,3.60334103,3.8516033483,3.5194449006,3.9456108444,3.6959802735,3.7103100546,4.0136390778,3.8943241282,3.884246605,3.8366609672,3.3783242619,4.5607401791,3,3.667670395,3.7875829936,0,4.0208861793,3.7049085086,3.6836422605,4.2065985363,3.7732006934,3.7055554427,3.4831460161,3.60334103,3.60334103,4.407657822,4.2523663383,3.8799687539,3.9167819162,3.7567736619,3.715638446,4.0238026959,3.9580298743,3.92332561,3.8776537251,3.8779722546,4.5641401705,4.0907317979,4.0167871878,3.9449324398,3.8136423787,3.7183882413,4.5029642226,105.914146341
424,4.2361864831,4.1521239765,3.487935857,3.9659801852,3.7723101433,4.0878003211,3.7235620179,3.9295328444,4.1663189702,4.0468085462,4.0639538523,3.9865034969,3.7774559422,4.4814153358,1,3.9396390362,3.7505397546,0,4.1024975838,3.8400920134,3.8523415302,4.1082980572,3.9051049564,3.6510513664,3.6260043043,3.487935857,3.487935857,4.4198932566,4.2073326198,3.967578778,4.20112884,3.7006427024,3.9440840314,4.2111153261,3.8908882066,3.8922853805,3.81404408,3.8638683633,4.4744583096,4.1999847228,4.1460254609,4.0567895447,4.0779834941,3.7600611496,4.4760306977,110.971514196
425,5,5,4.1230711703,4.7746950537,5,5,4,5,4,5,5,5,5,5,1,5,5,1,5,4,4,5,4.5272344881,4,5,4.1230711703,4.1230711703,5,5,5,5,4,5,4,5,4.539136488,5,5,5,5,5,5,5,5,5,107.134204355
426,2.9427528873,2.8130295713,2.7831274562,2.8494959814,2.9185487217,2.8769553527,2.5634222604,2.7024782556,2.8955643159,2.8301617226,2.9345513297,3,2.0862527369,2,5,3,2.809115721,0,2.8785229438,2.6340235559,2.574993229,2.9663993688,2.6787532939,2.6754181551,2.5143008106,2.7831274562,2.7831274562,2.8999253225,3,3,3,2.4661077276,2.9076185138,3,2.8623146571,2.8482797923,2.8413458547,2.7975645222,2.8657536808,2.9504142196,3,2.7620566164,2.2681719583,2,2,110.053877551
427,4.1097553824,4.0288961066,3.5222486598,3.8310948753,3.8331560438,3.9983894738,3,3.851278403,4.0451481792,3.9215857085,4.0618933796,5,3.8675537493,4,1,4,3.5891684127,1,4,4,3,4,3.9125864567,3,3,3.5222486598,3.5222486598,4,5,5,4,3,3.9671527254,4,3.7293616445,3.7433686514,3.6502057885,3.7167194802,5,4.1189589557,5,3.9749095958,3.9566438806,3,4,112.75263919
428,3.7366153762,3.5969683693,3.5998904113,3.5238913206,3.0715997599,3.6922329635,3.3329354857,3.4684295127,3.6556785994,3.5373356854,3.2498957336,3.3639607008,2.7894804199,3.5721850489,5,3.0054371712,3.6518932781,0,3.4598525023,3.1909448001,3.1169302342,3.6943954506,3.2282142914,3.2371601365,3.1754370854,3.5998904113,3.5998904113,3.2921797404,3.7159654769,3.2677107664,3.1910161811,3.3606868816,3.1728776465,3,3.6825741614,3.7461780326,3.6928432744,3.6548779476,3.2516606068,3.7124130382,3.3739773305,3.3033233154,3.015102889,3.1720802336,3.4797936282,107.134204355
429,4.0192679505,3.89672583,3.743257317,3.7483469076,3.4326479142,3.9344201363,3.5956262381,3.7105661974,3.9361453277,3.8019777366,3.7164401238,3.7594899175,3.4936437571,4.1777814397,2,3.4573826621,3.7196546523,0,3.845229427,3.5905610296,3.5390227275,4.0564304447,3.6263496963,3.5036834044,3.4528873267,3.743257317,3.743257317,3.937044178,4.1297103611,3.7205108936,3.6847071698,3.772595632,3.5859736059,4,3.8450438025,3.8660107891,3.7945928535,3.8000245337,3.9954877034,4.0369303036,3.837503031,3.7510462404,3.6610580211,3.5834808018,4.1113915316,102.654321429
430,4.613118664,4.4937010087,4.3150053369,4.4390388269,4.4633153773,4.5329967827,4.1650778413,4.3708613334,4.5526241775,4.4625958155,4.5480659817,4,4.0356590385,5,5,4,4.3224931902,1,4.499127637,4.2695096911,4.2268769218,4.5569132054,4.3073442867,4.1802179807,4.1339957472,4.3150053369,4.3150053369,5,5,5,5,4.1643242033,4.49914483,5,4.4015132065,4.4059398858,4.363843456,4.359296355,5,4.6160219265,5,4.409717679,4.1352796282,4,5,110.053877551
431,4.0487967886,3.9361529498,3.9925238554,3.8968627502,4,3.9663777502,3.7511500361,3.7694003525,4.0076885004,3.9216020958,5,4,3.906306978,5,5,4,3.6629017935,1,4,4.0993742411,4.0309865434,4.3856039123,4.1233234489,3.9252858522,3.7617698804,3.9925238554,3.9925238554,5,5,5,4,3,4,4,3.8695626328,3.7799914066,3.7539525263,3.7630929109,5,4.1893444509,4,4,3.8486898356,3,5,110.053877551
432,5.0675854715,4.9654167259,4.4103913486,4.9567901448,5,4.9442401721,4.5817407771,4.8091180607,5.0192949998,4.9559562698,5,5,3,5,5,5,5,1,4.8998993383,4.5734501091,4.576306588,4.8387822567,4.6574685678,4.6334401064,4.4815990589,4.4103913486,4.4103913486,5,5,5,5,5,5,5,5,4.9095351501,5,5,5,4.966162325,5,5,4.4135516743,5,5,110.053877551
433,3.544048923,3.4740397558,3.8765871526,3.3723820022,4,3.5663433191,3.6413078875,3.3001068599,3.5329207154,3.4110520575,4,4,3,4,5,4,3,1,4,4.1328180316,3.9761891908,4.3830677022,4.1553937097,3.8030491819,3.6482383387,3.8765871526,3.8765871526,4,5,5,4,4,3,4,4,3.5324288744,3,3,5,3.8027502818,4,4,3.137913282,4,4,110.053877551
434,4.1560343103,4.0185607872,3.5437581836,3.8973443066,3.3324619897,3.9718342739,3.5856522754,3.7318497361,4.0579256357,3.9363829256,3.7403147199,3.7150823012,3.4550018874,4.4985570944,3,3.4755061308,3.8179747295,0,3.9682554481,3.4104574651,3.4223040485,4.0635205614,3.4782243043,3.5452309535,3.2984472873,3.5437581836,3.5437581836,4.3226777865,4.1648354745,3.7722502427,3.8142889326,3.7832074051,3.5450137871,3.9242713472,3.988078494,3.9461591377,3.9127322762,3.8891955903,4.4675212021,4.1023974782,3.893389653,3.8800211332,3.963257322,3.6404862959,4.4427433664,105.914146341
435,4.6291256304,4.5166060393,3.8682429197,4.4083611043,4.0634382367,4.4522607549,4.0474138495,4.2775869236,4.5508122966,4.4505828913,4.3459352238,4.236329576,3.906722559,4.8377736433,5,4.1800293963,4.246431214,0,4.4550251547,3.9990024255,4.0254868934,4.4216907891,4.0742886451,4.026682061,3.8678911905,3.8682429197,3.8682429197,4.7672256358,4.5271258624,4.2630448706,4.4807042412,4.0243997401,4.2185376794,5,4.369888845,4.3460686503,4.3077079759,4.3076449527,4.8237359203,4.54945499,4.4172132031,4.3791112571,4.3711280047,4.0737943001,4.8118712835,107.480709329
436,3.9071767673,3.7806665809,3.7337769125,3.7433175638,3.7104480109,3.7888865861,3.5909041474,3.5359383477,3.8491756467,3.7518158662,3.9880131887,3.7870510532,3.3315948334,4.6004801295,5,3.6552152761,3.6604108637,0,3.9890444783,3.6820547057,3.6301822097,4.2197745448,3.7327041507,3.7342945355,3.4169515357,3.7337769125,3.7337769125,4.4114118596,4.3028147677,3.9215134927,3.8748473157,3.7715795396,3.8285922081,4,3.863545457,3.7744765364,3.7638954891,3.7352436063,4.6057994161,3.9883614533,4.0017668695,3.9207024711,3.6243314372,3.7135590214,4.5051817724,107.480709329
437,3,4,3.7846096443,3.2920559529,2.5051984584,4,3.3663325354,3,2,4,3.1655306184,3,3,5,5,3,3.4780266498,1,4,3.1207548126,3.0222620638,4.1914503813,3.1489865753,3.3124082773,2.9230653402,3.7846096443,3.7846096443,4,5,3,2,4,2.8311364543,3,3.7722729204,3.7066909713,3.6590646346,3.6063463006,5,5,2,3.461045872,4,3,4,110.053877551
438,4.1691218001,4.0751337864,3.5514071318,3.952771348,3.4866745994,4.0643529586,4,3.8842118437,4.1035669039,3.9924224095,3.7318357484,4,3.1204115021,4,5,4,3.9639661744,1,3.9298796219,3,4,4,3.7504431033,4,4,3.5514071318,3.5514071318,4,4,4,4,3,3.6468746286,3,4.0084592466,4.0602656875,3.9973875207,4.0005751698,4,4.08799192,4,4,3.5938153903,4,4,107.480709329
439,4.046941908,3.949093865,3.5393590881,3.7119769872,3.5390696463,3.9484852194,3.5304626682,3.7819506803,3.9613427237,3.815255129,3.8098789672,3.833878481,3.8873184215,4,1,3.6182155268,3.5220222655,1,4,3.6626359116,3.638924414,3.9279501858,3.6918787028,3.3548084908,3.4877705913,3.5393590881,3.5393590881,4,4.0554549567,3.7503338235,3.8633829521,4,3.698005065,4,3.6556655045,3.6999490515,3.588662331,3.6531279847,4,4.0511876012,3.9049794412,4,3.8997784487,3,4,110.971514196
440,4.0054802918,3.862855971,3.5737094187,3.7303000949,3.4917241113,3.8269883413,3.4568967629,3.5825913042,3.9088215525,3.783491938,3.8844496542,3.7391869818,3.7966732207,4.6047745115,3,3.518698526,3.529138358,0,3.9492428796,3.4482449969,3.4436169368,4.0665340459,3.4894132739,3.4654342592,3.2435554176,3.5737094187,3.5737094187,4.4021582252,4.2426075622,3.8635651121,3.8566210876,3.888145812,3.6729935054,3.9501501168,3.773898903,3.6880679224,3.6515325127,3.6470267758,4.604535867,4.0387176403,3.9491546912,3.9078462965,4.0450503832,3.6767083575,4.5419077253,111.729075
441,5,5,4.4021224904,5,4.8959351876,5,4.3067154289,5,4.9857505048,4.9095816555,4.9207973232,5,5,5,4,5,4.5595021754,1,4,4.3421550131,4.3701840499,4.5750752277,4.3776413239,4.2621756916,4.3136466926,4.4021224904,4.4021224904,5,5,4,5,5,4.8942066209,5,4.6225123646,4.6214650786,4.5832357031,4.5868909376,5,5,4,5,5,4,5,102.654321429
442,5,5,4.0621982575,4.8169634364,5,5,4.349404858,5,5,5,5,4,5,5,1,4,5,1,5,4.2179872853,4.283873999,4.5727648857,4.2911304436,4.1544182844,4.1867026737,4.0621982575,4.0621982575,5,5,4,4,4,5,5,5,4.7148415438,5,5,5,5,5,4,5,4,5,112.75263919
443,4.5559698096,4.4732809546,4.1159946132,4.3542231652,4.6230273053,4.4336591791,4.1954852795,4.2627778911,4.5122532,4.4134979024,4.8355235704,5,4.3378562283,5.1896402504,3,4.620156446,4.0734489819,0,4.6642783001,4.5290751728,4.5044728337,4.7414292715,4.5785639294,4.2901992864,4.1778291906,4.1159946132,4.1159946132,5.1256057678,5,5,5,4.2543003463,4.72304517,5,4.2751280269,4.2097977634,4.1573966896,4.2028144297,5.2542076386,4.6326273746,5,4.6522389194,4.4577890813,3,5.1553714155,111.729075
444,4,4,3.4973731526,3.5924613711,4,4,3.2773038096,4,3,4,4,4,4,4,3,2,4,1,4,3.2005068172,3.1872214458,3.802051763,3.2301157385,3.2135993993,3.0894585495,3.4973731526,3.4973731526,4,4,4,3,4,4,3,4,3.5867428719,4,4,4,4,3,3.6365357398,3,2,4,111.729075
445,4.3506330775,4.2933268836,3.7709967196,4.0990334298,4.382975682,4.2375548211,3.9787758797,4.0987710117,4.3084574559,4.1945385356,4.601410173,4.3855402779,4.2565672987,4.8656595574,1,4.4662906642,3.7710062454,0,4.4153574981,4.3913733677,4.374899881,4.4586557403,4.4405245888,3.9889270289,4.0184841545,3.7709967196,3.7709967196,4.8374376757,4.5771034273,4.4039440241,4.655644678,3.9681308591,4.5054872613,5,3.9581992316,3.9331613668,3.8434261277,3.9321513473,4.9235413959,4.4149773915,4.5777594584,5,4.3085559371,4.1142416492,4.8638872144,110.823339587
446,4.2469120759,4.1977685408,3.6806337327,3.9457440596,3.4650386887,4.2041836457,4,4.0217132027,4.1915527841,4.0391077699,3.7762114368,4,3,4,1,4,4,1,4.0034204396,4,4,4,4.1299521739,4,4,3.6806337327,3.6806337327,4,4,4,4,4,3.6928112451,4,4,4.1719082911,4,4,4,4.213150828,4,3,3.6681563452,5,4,107.480709329
447,5,5,4.0610922054,5,4.6793444938,5,4.7163260805,5,5,5,4.7689375348,5,4,5,1,5,5,1,4,5.0588111575,5.0308223052,4.8359817673,5.1641325777,4.6387129511,4.7776059506,4.0610922054,4.0610922054,5,5,5,5,3,4.8066576326,5,5,4.7735580024,5,5,5,5,5,4.7777777778,3,4,5,107.480709329
448,4,4,3.8892000782,4,4,4,4,4,4,4,4,4,3.8868415933,5,1,4,4,1,4,4,4,4,4.4398224033,4,4,3.8892000782,3.8892000782,5,5,4,4,4,4,5,4,4.014414936,4,4,5,4,4,4,4.0823008317,5,5,107.134204355
449,5,5,3.5030498522,5,3.9698161369,5,3.5938006304,5,5,5,3.684129045,4,3.8187187594,3,1,3,4.3338642507,4,4,3.2792156234,3.3704031812,3.1455667125,3.3215794964,3.1139274052,3.7369065387,3.5030498522,3.5030498522,2,3,4,2,3,3.8823064144,4,4.0311647998,4.3055143855,4.1942415861,4.2187416229,2,5,4,4,3.8641275303,2,3,107.480709329
450,4.0300674581,3.9337382363,3.617665548,3.6398537141,3.085624174,3.9495167641,3.624694829,3.710986965,3.9337673047,3.7520668755,3.5299888558,3.7718995413,3.6459323337,4.1564331024,1,3.3363118815,3.6306854164,0,3.7777986101,3.6234313354,3.5742205002,4.0730916229,3.6602251298,3.3746398665,3.4527449166,3.617665548,3.617665548,3.8869815373,4.1070567148,3.6444588277,3.5760799587,3.8457117838,3.3535625168,3.7491282152,3.7780881607,3.849775315,3.7196066357,3.7768964297,3.9761583135,4.0469374981,3.8065882878,3.6975646737,3.8166904159,3.5632290725,4.1183365162,107.480709329
451,4.5832396562,4.5147948726,3.8337868568,4.2954732439,4,4.4654851579,5,4.3034653943,4.5171662097,4.3846557309,4,4,3.926538357,5,1,5,4,1,4.389311147,4,4,5,4.2999424913,5,4,3.8337868568,3.8337868568,5,5,4,5,4,4,4,4,4.3261747767,4,4,4,4.5323802658,5,4.3204311255,4.2793661437,3,4,107.480709329
452,3.8833287414,3.8065266921,3.5934928801,3.6502371267,3.5797993385,3.7912544264,3.6899730334,3.5445924815,3.8377670796,3.7090082766,3.9469373728,3.8786653367,3.3579173107,4.6115294943,1,3.7373001221,3.5771301057,0,3.9788965761,3.9134976128,3.8530257956,4.2957115471,3.97342158,3.7418351521,3.548327046,3.5934928801,3.5934928801,4.4518015943,4.3042992833,3.9263649716,3.9076448933,3.7368392613,3.7785356333,4.0247225061,3.7863366518,3.7461599049,3.6805756627,3.713923139,4.6632905913,3.984746457,4.0681354531,3.9311900121,3.65328199,3.734873373,4.5485521718,107.480709329
453,3.6572815209,3.5373073767,2.9428569941,3.339505909,2.6391201598,3.4944886545,3.0708188521,3.2749347456,3.5534630119,3.4102204947,3.0628222262,3.1781152468,2.9504659523,3.7487195899,1,2.8788933666,3.2876951592,0,3.3550799156,2.8882666643,2.9006150271,3.4511398054,2.9549070498,2.9039866207,2.8096376559,2.9428569941,2.9428569941,3,3.5232248616,3.1304450353,3.2044967987,3.1929551281,2.8850296243,3,3.416140199,3.4390980394,3.3650308897,3.3730478135,3,3.5727469814,3.289272003,3.2587602072,3.4221588199,3.0322274263,3.7170528509,107.480709329
454,4.5821761767,4.4714455959,3.8914957645,4.2147073942,3.7280009087,4.4107719545,4.0019068777,4.1915890271,4.4772046057,4.3189761949,4.1970919263,4,4.3407247285,5,1,4,4.0336114862,1,4.3770582378,3.9751058381,3.9868456434,4.4824352336,4.025673091,3.8355790769,3.7940511562,3.8914957645,3.8914957645,5,5,4,4,5,3.9889928348,5,4.2383463192,4.2324010465,4.1385895096,4.1843636373,5,4.5609447708,5,4.3332527623,4.6306894198,3,5,107.134204355
455,4.1542587682,4.0474142976,3.5556725944,3.9554852494,3.7773287327,4.0118373916,3.6602773945,3.8378790919,4.0885836956,3.9923451155,4.0036543127,3.8670785113,3.4773514155,4.4024904492,1,3.8263929815,3.8056614972,0,4.0434755987,3.7032368909,3.7031176595,4.0622558808,3.769327391,3.6732763514,3.53377885,3.5556725944,3.5556725944,4.3184392798,4.1557277745,3.892106445,4.0770594353,3.6193123893,3.898505464,4.110782581,3.9255168979,3.9036428287,3.8639810305,3.8674092992,4.3676045799,4.1172302099,4.0369003834,3.9696243235,3.8340523823,3.6846766171,4.3654377333,107.134204355
456,4.1377932006,4.046660732,3.4863007377,3.8328672956,3.5493037153,4.0145140886,3.6245064429,3.846215521,4.0579719204,3.9226569703,3.8484020891,4,3.7172773143,4,1,4,3.6699055178,1,3.935906094,3.7003760035,3.6956581675,3.9947234049,3.7526796853,3.483092526,3.5276927759,3.4863007377,3.4863007377,4,4,4,4,3.6675211508,3.7296189343,4,3.7935766615,3.8272566868,3.7317781651,3.7836874149,4,4.1055358908,4,4,3.9351538723,3,4,107.480709329
457,5,4,3.9515258823,4.0061238912,3.3162195922,3,4.1387555229,4,4.3115213761,5,3.9580798957,4,3,5,1,2,4.0466316624,1,4,4.1370680981,4.0886979364,4.7381633455,4.2005491183,3.9666504859,3.836789344,3.9515258823,3.9515258823,5,5,5,5,5,3.6906364304,5,4.2821584631,4.2975727011,4.1791964757,4.2337108463,5,4,4,4.2297749098,5,5,5,107.134204355
458,2,2,3.0265397553,1.8745970539,1.6327210661,3,2.6069983935,1,2.2518816811,2,2.4060633225,2,2,4,2,3,2.0804028131,3,2,2.9394713996,2.7170956055,3.7045049215,2.9324030743,2.5364014941,2.3437900635,3.0265397553,3.0265397553,3,4,3,2,4,2.0389283714,2,2.495520341,2.4601638186,2.3116084668,2.381537407,4,3,2,1,2,3,4,112.75263919
459,4,3.7694633899,3.8198874341,4,3.3673712657,3.7831409981,3.8412595771,3.4549878149,3.7949799997,3.6308024472,3.8926922248,4,3,5,3,4,3.6114918943,1,4,4.0773757197,3.9689912844,4.6036786819,4.1304041195,3.8803765975,3.6235604929,3.8198874341,3.8198874341,5,5,4,3,4,3.6524481024,4,3.8844655615,3.8397744833,3.7557000094,3.7938849421,5,3,4,3.9715084167,4,4,5,112.276359223
460,5.0302960724,4.9393130874,4.2640321835,4.846648758,4.964619205,4.8925629441,4.4303738594,4.8096049212,4.9744808608,4.8984321225,5.0182581631,5,4.5504204642,5,2,5,4.542749904,1,4.8854507095,4.6167782071,4.6395886829,4.6990343583,4.6753814716,4.4235209291,4.4629276824,4.2640321835,4.2640321835,5,5,5,5,4,4.9983349726,5,4.6104210079,4.6153216542,4.5619386029,4.5988764211,5,4.9585928816,5,5,4.7184892238,5,5,107.134204355
461,3,4,3.6474186459,3.4825224376,3.9632664931,4,4,4,4,3,4.1305649491,4,2,5,3,4,3.5775322405,1,3.9736222853,5,4,5,4.9074828024,4,4,3.6474186459,3.6474186459,4,4,5,5,4,4.1156503897,5,3.6701159418,3.7544247269,3.6153238428,3.7429782843,4,4,4,3.9212532344,2,3,5,111.729075
462,4.00339585,3.8783787006,3.6147532719,3.7237269155,3.2972343045,3.8454203197,3.6006137527,3.5607803942,3.9157451034,3.7760919803,3.7827325788,3.758276151,3.5119075518,4.6929774106,3,3.4647067858,3.6558877105,0,3.9666372165,3.5588554132,3.5337060383,4.233040305,3.6163161235,3.6006543987,3.3167674884,3.6147532719,3.6147532719,4.4650173258,4.3099312326,3.8534093712,3.7635104381,3.9213389789,3.5445106314,4,3.8984042477,3.8301056051,3.7848442774,3.7791333901,4.7207436317,4.0492902639,3.9598928908,4,3.9262426069,3.7167055685,4.6186137445,103.347777778
463,4.0484083151,3.9051072982,3.8283983645,3.7302187319,3.4929956069,3.9303856874,3.5509336505,3.6823867585,3.9469110833,3.7999811289,3.8520745861,3.8270350879,2,4,3,3,3.5953208146,1,3.9288672555,3.5676687143,3.5237930586,4.1404836985,3.5843154739,3.4681017108,3.3921399162,3.8283983645,3.8283983645,4,5,5,3,4,3.6639289279,3,3.8092060211,3.7789539529,3.7095656632,3.7200300625,5,4.1120639879,5,3,3.9948726789,3,4,111.729075
464,4.0070263813,3.8791116507,3.3909063892,3.6485328495,3.1385170001,3.8443897677,3.3850710966,3.6264753726,3.8948612692,3.7408392465,3.5626421811,3.6204838696,3.7442579292,4.2084654914,1,3.2996142958,3.4920176636,0,3.7518890122,2,3.3066733374,3.8433593902,3.3422588735,2,2,3.3909063892,3.3909063892,4,3.9890891931,3.6029912951,4,3.7315633817,3.3697147232,4,3.6734085819,3.6760705465,3.5895711262,3.6180961495,5,3.9744952271,3.7370061275,3.6914988994,3.985678734,3.4737697722,4.1783646212,112.75263919
465,4,4,3.9440868699,4.185208815,4,5,4.3159659605,4,5,4,4,4,3.8454982252,5,1,5,4,1,4.4805472074,4.6120206695,4.5596701051,4.7806511262,4.6862952178,4.2429753445,4.2283546603,3.9440868699,3.9440868699,5,5,5,5,4.108263911,3,5,4,4.3172574935,4,3,5,4,5,4.4338458253,4.1733274543,5,5,112.75263919
466,4.2774337684,4.1800618705,3.6872063258,4.0708012759,3.8254725534,4.1709297868,4,4.0156075762,4.2143408363,4.112910118,4.0021569799,4,3.4628475114,4,1,4,4,1,4.0807290219,4,4,4,3.8971700982,4,4,3.6872063258,3.6872063258,4,4,4,4,4,3.93709992,4,4,4.0781178926,4,4,4,4.2159490361,4,4,3.7885292279,3.7168800023,4,110.823339587
467,3.9022654143,3.8218657828,3.4787958797,3.5909978498,3.5647342787,3.7786894259,3.570169484,3.552075928,3.8368570911,3.6900433815,3.9763100205,3.8910854167,3.8219215372,4.630186121,1,3.7356045673,3.374101677,0,3.9593317716,3.8341266531,3.7997077524,4.1880624938,3.8783310813,3.5460841886,3.4626284877,3.4787958797,3.4787958797,4.4741885192,4.2840872995,3.9418230839,3.9699009003,3.8184394588,3.7837929688,4.0463266566,3.6284559571,3.5831277447,3.4926677198,3.5601300709,4.6908333993,4.0028236073,4.0846349415,3.951923777,3.9631907189,3.7310379345,4.594937508,110.823339587
468,4,4,3.9098574928,3,4,4,4,3,5,4,3,4,5,5,1,4,3.7342504867,1,4.0311752114,4,3,4,3.4926491739,4,4,3.9098574928,3.9098574928,4,4,4,3,5,2,4,3.9947303392,3.9632951659,3.8794286916,3.8885760346,4,3,4,4,5,4,5,107.480709329
469,5,5,3.9556713683,4.629533539,5,5,4.4477752567,5,5,5,5,5,4,5,1,5,4.4863337553,1,5,4.6872590813,4.6879622811,4.5991073878,4.7746277702,4.3453357153,4.4815585354,3.9556713683,3.9556713683,5,5,3,5,4,5,5,4.4832797069,4.580067917,4.4764600484,4.5561191098,5,4.7458245194,5,4.5723910463,3,4,5,107.480709329
470,4,3.8999729654,3.5446391283,3.7525527494,2.8808062827,4,4,3.5983887057,3.936487341,3.7913894829,3.3758813823,4,3,4,1,3,3.8199088475,1,4,3,3,5,3.256084243,4,2,3.5446391283,3.5446391283,4,3,4,3,2,3.1490375274,4,3.9761018881,3.9667077964,3.9223036403,3.8823637511,4,4,4,3.646610948,4,3,4,107.134204355
471,4.1332356483,4.0554901558,3.4737074438,3.8498631998,3.5830475875,3.9976379806,3.7175323798,3.8038715537,4.066306469,3.9335786167,3.9482952584,3.9308376963,3.620203145,4.5148208206,1,3.8159983649,3.6999227464,0,4.0401967004,3.8345930004,3.8283117088,4.1624609163,3.9024014337,3.6472973468,3.5777930296,3.4737074438,3.4737074438,4.416103242,4.2169372087,3.9135873752,4.0589055422,3.7136563855,3.7976990653,4.1146699645,3.8636198618,3.8631397873,3.7790306287,3.8296674654,4.5305493541,4.1290506532,4.0922296447,3.9911837203,3.9690258901,3.7327849743,4.4966447393,107.134204355
472,3.8319593907,3.7641803571,3.4865519087,3.5037696913,3.2591565221,3.7801618702,3.5705871376,3.5638306416,3.7687530229,3.6067351368,3.6160374745,3,3,4,1,4,3.4654787941,1,3.726120533,3.7604198239,3.6931661664,4.0364498076,3.8034089713,3.4185555431,3.484645888,3.4865519087,3.4865519087,4,4,4,4,3.6110394771,3.480573162,4,4,3.6679380209,3.5432709732,3.6153115397,4,3.8938727385,4,4,3.5428711174,3,4,107.480709329
473,4.1478139694,4.100871802,3.579870151,3.8863601737,4,4.0773773526,4,3.9071311999,4.1051840296,3.9731756247,4,4,3.4652596203,4,1,4,3.8099298218,1,4,4,4,4,4.1762892485,4,4,3.579870151,3.579870151,4,4,4,4,3,4,4,3.9102286436,3.9659686364,3.8586905299,3.9304702973,5,4.1586377862,4,4,3.7511979102,4,4,107.480709329
474,4,4,3.5229029777,4,3.6868456187,4,3,4,4,4,3.9566450679,4,3.8815270971,5,1,5,3.6332938827,1,4,3,3,4,3.7640576298,3,3,3.5229029777,3.5229029777,4,5,4,5,4,3.8413240572,4,3.7728437604,3.7883667075,3.6989945305,3.7513162842,4,4,4,4,4.0225671148,4,4,107.480709329
475,4.1337592256,4.0446253741,3.4857427789,3.8164963968,3.3424500167,3.9818031576,3.7112713332,3.7469135605,4.0525427725,3.9033596134,3.8179594486,3.8733307354,3.5931885933,4.6005741014,1,3.6457336771,3.7181858251,0,4.0158141297,3.7273767247,3.7219372969,4.2082474592,3.7973775199,3.614181603,3.4832033327,3.4857427789,3.4857427789,4.4495489812,4.2519272178,3.8700369701,3.9247096844,3.8214223614,3.6152772025,4.0290450518,3.9126813164,3.9030852605,3.8190407361,3.8586676406,4.6272547712,4.1304850996,4.0394420238,3.9596720292,4.0309017761,3.7330936357,4.5710011892,107.480709329
476,4,3,3.9289784387,3.963499077,4.4447785739,4,3.9703474634,4,4,4,4.6120859715,4,4.1471560464,5,1,5,4,1,4.355004122,4.4875106407,4.4214444687,4.5317725688,4.5203460181,4.0360062821,4.0572738225,3.9289784387,3.9289784387,4,5,5,5,4,4.5302312623,5,4,3.857008549,4,4,4,4,5,4.3566866766,4.0500059722,5,5,112.75263919
477,4.1878941371,4.0614636684,3.4387194203,3.8256569171,3.0854946115,3.9819900242,3.5805518089,3.724326767,4.0718256134,3.9127932185,3.6495249288,3.7366500451,3.7254522381,4.6012755351,1,3.3947324856,3.7112978497,0,3.9559312474,3.3973707791,3.4233662419,4.0895775802,3.4634051669,3.4304247277,3.2524601884,3.4387194203,3.4387194203,4.4015047656,4.1979392806,3.7655196253,3.7799326633,3.9172000247,3.3946149195,3.9042568923,3.9320208777,3.9032215801,3.8310528293,3.8454786588,4.6050018164,4.1378242042,3.9093505908,3.8929211601,4.2311021298,3.6673338862,4.567985445,112.75263919
478,3.6252664664,3.5282397911,3.141563191,3.2801424555,2.6573762771,3.562190327,3.1770092746,3.3620994359,3.5338735327,3.3712484846,2.9842807024,4,2.9170927367,3.3983178322,1,3,3.330531647,0,3,3.1009632616,3.0573926715,3.4739752399,3.1464610054,2.9050594868,3.0318061371,3.141563191,3.141563191,3,3,3,3,3.179248385,2.8745550495,4,4,3.4996565574,3.3765275091,3,3,3.5735129488,4,3,3.147554977,5,4,110.823339587
